Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
CH,-1.2577E-06,-4.0479E-21,-6.6109E-05,0,0,0,19.973,0.49814,1.0467E-16,1.1843E-05,0.94745,1.5792E-17,1.3494,0,0,0,0,0,0,package://lsd/meshes/CH.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/CH.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FCL_r,-8.2323E-14,-0.075,0.015,0,0,0,0.4,0.00095237,-9.7968E-16,-6.58E-22,6.0874E-05,9.7024E-21,0.00095324,0,0,0,0,0,0,package://lsd/meshes/FCL_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/FCL_r.STL,,Control Link-1,Origin_CH_FCL_r,Axis_CH_FCL_r,CH_FCL_r,continuous,0.3083,-0.26,0.053926,1.5708,0.45693,0,CH,0,0,1,100,10,,,,,,,,,,
FB_r,0.0867,-0.045993,0.023367,0,0,0,2,0.007584,0.0051798,-0.001033,0.081024,-0.00021378,0.087785,0,0,0,0,0,0,package://lsd/meshes/FB_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/FB_r.STL,,Front Bogie-1,Origin_FCL_FB_r,Axis_FCL_FB_r,FCL_FB_r,continuous,0,-0.15,0.03,0,0,0.45967,FCL_r,0,0,1,100,10,,,,,,,,,,
FW_r,-5.4734E-14,2.8433E-13,0.065,0,0,0,2.7,0.019007,1.1613E-34,0,0.019007,-5.0985E-35,0.030409,0,0,0,0,0,0,package://lsd/meshes/FW_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/FW_r.STL,,Wheel-1,Origin_FB_FW_r,Axis_FB_FW_r,FB_FW_r,continuous,0.39003,-0.17975,0.05,0,0,-0.0027411,FB_r,0,0,1,100,10,,,,,,,,,,
RCL_r,2.7756E-16,-0.075,0.015,0,0,0,0.4,0.00095237,-1.362E-18,1.9228E-21,6.0874E-05,5.0745E-20,0.00095324,0,0,0,0,0,0,package://lsd/meshes/RCL_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/RCL_r.STL,,Control Link-2,Origin_CH_RCL_r,Axis_CH_RCL_r,CH_RCL_r,continuous,-0.3063,-0.26,0.0512,1.5708,0.55096,0,CH,0,0,1,100,10,,,,,,,,,,
RB_r,-0.036527,-0.045993,0.026633,0,0,0,2,0.007584,-0.0051958,-0.0010325,0.081066,0.00021378,0.087828,0,0,0,0,0,0,package://lsd/meshes/RB_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/RB_r.STL,,Rear Bogie-1,Origin_RCL_RB_r,Axis_RCL_RB_r,RCL_RB_r,continuous,0,-0.15,0.03,0,0,0.53656,RCL_r,0,0,1,100,10,,,,,,,,,,
MW_r,-4.9342E-14,-7.9659E-14,0.065,0,0,0,2.7,0.019007,-2.7105E-20,-4.3188E-21,0.019007,-1.4349E-24,0.030409,0,0,0,0,0,0,package://lsd/meshes/MW_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/MW_r.STL,,Wheel-2,Origin_RB_MW_r,Axis_RB_MW_r,RB_MW_r,continuous,0.34003,-0.17975,0.05,0,0,0.019923,RB_r,0,0,1,100,10,,,,,,,,,,
RW_r,-4.1855E-14,8.7375E-14,0.065,0,0,0,2.7,0.019007,1.1613E-34,0,0.019007,-5.0985E-35,0.030409,0,0,0,0,0,0,package://lsd/meshes/RW_r.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/RW_r.STL,,Wheel-3,Origin_RB_RW_r,Axis_RB_RW_r,RB_RW_r,continuous,-0.34003,-0.17975,0.05,0,0,0.014396,RB_r,0,0,1,100,10,,,,,,,,,,
FCL_l,-7.7716E-16,-0.075,-0.015,0,0,0,0.4,0.00095237,2.1633E-18,1.1537E-20,6.0874E-05,-3.6651E-21,0.00095324,0,0,0,0,0,0,package://lsd/meshes/FCL_l.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/FCL_l.STL,,Control Link-3,Origin_CH_FCL_l,Axis_CH_FCL_l,CH_FCL_l,continuous,0.3083,0.26,0.053926,1.5708,0.33389,0,CH,0,0,1,100,10,,,,,,,,,,
FB_l,0.0867,-0.045993,-0.023367,0,0,0,2,0.007584,0.0051798,0.001033,0.081024,0.00021378,0.087785,0,0,0,0,0,0,package://lsd/meshes/FB_l.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://lsd/meshes/FB_l.STL,,MirrorFront Bogie1-1,Origin_FCL_FB_l,Axis_FCL_FB_l,FCL_FB_l,continuous,0,-0.15,-0.03,0,0,0.34547,FCL_l,0,0,1,100,10,,,,,,,,,,
